ID	CANONICAL_SMILES	Ki_nM
789	NC(=N)c1ccc2oc(cc2c1)c3cccc(c3O)c4ccccc4	7000
4065	CCOC(=O)CC(CCc1ccc(cc1)C(=N)N)c2ccccc2	6200
674	NC(=N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3cccc(c3)c4ccccc4)C2=O)c1	4000
2389	CC(C)(C)OC(=O)Nc1cccc(c1)c2cccc(c2)C(=O)N[C@@H](CCCN=C(N)N)B3O[C@@H]4CC5CC(C5(C)C)[C@]4(C)O3	8.3
2534	NC(=N)NCCCC(NC(=O)[C@@H]1CC[C@H]2CN(CCCc3ccccc3)CC(=O)N12)C(=O)c4nccs4	17
2230	Cc1cc(OCC\C=N\N=C(N)N)cc(OS(=O)(=O)c2ccccc2C(F)(F)F)c1	4.4
3885	COC(=O)Nc1ccc(c(c1)[C@H]2CCCN2C(=O)[C@H](Nc3ccc4c(N)nccc4c3)c5cc(OC)ccc5F)S(=O)(=O)C(C)C	4400
34	CCCCN(Cc1cocc1)C(=O)c2cc(C)cc(OCCCON=C(N)N)c2	8
284	CCC(C)(C)c1ccc(cc1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCN(CC3)C(=O)CCN=C(N)N	260
2764	NC(=N)NOCCNC(=O)Cc1c(F)c(NCC(F)(F)c2ccccc2)ccc1Cl	47
3265	NC(=N)c1cccc(c1)C2=NOC(Cn3cnnn3)(C2)C(=O)Nc4ccc(cc4)c5ccccc5S(=O)(=O)N	400
929	NC(=N)c1ccc(NC(=O)C(=O)Nc2ccc(cc2)C(=N)N)cc1	15800
2301	CN(C1CCCC1)C(=O)[C@H](Cc2ccc(CN)cc2)NS(=O)(=O)c3ccc4cc5ccccc5cc4c3	5.7
176	Cl.CCOC(=O)CN(C1CC1)C(=O)[C@H](CC(=O)NC[C@@H]2CCCN(C2)C(=N)N)NS(=O)(=O)c3ccc4ccccc4c3	86
3858	COC(=O)[C@H](Cc1cccc(c1)C(=N)N)[C@@H](C)NC(=O)c2ccc(cc2)c3cccnc3	4000
3587	NC(=N)c1cccc(c1)c2nocc2C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N	2000
3190	NC(=N)c1cccc(c1)N(CCCc2ccc(cc2)c3ccccc3S(=O)(=O)N)CCOc4ccccc4.OC(=O)C(F)(F)F	300
3236	CC1=CN=C(NCCc2ccccc2)C(=O)N1CC(=O)NCc3cnc(N)nc3	357.1
3549	NC(=N)c1ccc(\C=C/2\CC(C\C(=C\c3ccc(cc3)C(=N)N)\C2=O)c4ccccc4)cc1	1700
2345	COc1cc(Cc2c(sc3cc(O)ccc23)c4ccc(NC(=O)CN)cc4)ccc1CN5CCCC5	7
917	NC(=N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)\C=C\c2ccccc2)cc1	15000
4161	CCOP(=O)(O)c1ccc2NC(=O)OC[C@H](C)c3ccc(cc3C)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)N(C)Cc1c2	10000
3746	NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)CN4CCN(CC4)CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1	3517
2494	NC(=N)NCCC[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)CCCCCCCCCCNC(=O)C1=O	15
1438	NCCCCCCN(CCCCCCN)C1CSCCC1=O	10000000
4612	NC(=N)c1ccc2oc(cc2c1)C(=O)N3CCN(CC3)C(=O)CCCC(=O)N4CCN(CC4)C(=O)c5oc6ccc(cc6c5)C(=N)N	32000
1078	CC(C)CCN1CCC[C@H]1C(=O)NCc2ccc(cc2)C(=N)N.CC(=O)O	48000
